"","coddepto","codprovincia","codmpio","depto","provincia","municipio","ano","pobl_tot","ipm_asisescu_pob","gpacifica"
"1",5,595,5001,"Antioquia","Valle del aburra","Medellín",1993,1793491,NA,0
"2",5,595,5001,"Antioquia","Valle del aburra","Medellín",1994,1832197,NA,0
"3",5,595,5001,"Antioquia","Valle del aburra","Medellín",1995,1872241,NA,0
"4",5,595,5001,"Antioquia","Valle del aburra","Medellín",1996,1912860,NA,0
"5",5,595,5001,"Antioquia","Valle del aburra","Medellín",1997,1953293,NA,0
"6",5,595,5001,"Antioquia","Valle del aburra","Medellín",1998,1992781,NA,0
"7",5,595,5001,"Antioquia","Valle del aburra","Medellín",1999,2030560,NA,0
"8",5,595,5001,"Antioquia","Valle del aburra","Medellín",2000,2065871,NA,0
"9",5,595,5001,"Antioquia","Valle del aburra","Medellín",2001,2098618,NA,0
"10",5,595,5001,"Antioquia","Valle del aburra","Medellín",2002,2129874,NA,0
"11",5,595,5001,"Antioquia","Valle del aburra","Medellín",2003,2159609,NA,0
"12",5,595,5001,"Antioquia","Valle del aburra","Medellín",2004,2187831,NA,0
"13",5,595,5001,"Antioquia","Valle del aburra","Medellín",2005,2214494,155102.27,0
"14",5,595,5001,"Antioquia","Valle del aburra","Medellín",2006,2239003,NA,0
"15",5,595,5001,"Antioquia","Valle del aburra","Medellín",2007,2265244,NA,0
"16",5,595,5001,"Antioquia","Valle del aburra","Medellín",2008,2291378,NA,0
"17",5,595,5001,"Antioquia","Valle del aburra","Medellín",2009,2317336,NA,0
"18",5,595,5001,"Antioquia","Valle del aburra","Medellín",2010,2343049,NA,0
"19",5,595,5001,"Antioquia","Valle del aburra","Medellín",2011,2368282,NA,0
"20",5,595,5001,"Antioquia","Valle del aburra","Medellín",2012,2393011,NA,0
"21",5,595,5001,"Antioquia","Valle del aburra","Medellín",2013,2417325,NA,0
"22",5,595,5001,"Antioquia","Valle del aburra","Medellín",2014,2441123,NA,0
"23",5,595,5001,"Antioquia","Valle del aburra","Medellín",2015,2464322,NA,0
"24",5,595,5001,"Antioquia","Valle del aburra","Medellín",2016,2486723,NA,0
"25",5,595,5001,"Antioquia","Valle del aburra","Medellín",2017,2508452,NA,0
"26",5,595,5001,"Antioquia","Valle del aburra","Medellín",2018,2372330,NA,0
"27",5,562,5002,"Antioquia","Oriente","Abejorral",1993,23735,NA,0
"28",5,562,5002,"Antioquia","Oriente","Abejorral",1994,23297,NA,0
"29",5,562,5002,"Antioquia","Oriente","Abejorral",1995,22875,NA,0
"30",5,562,5002,"Antioquia","Oriente","Abejorral",1996,22479,NA,0
"31",5,562,5002,"Antioquia","Oriente","Abejorral",1997,22109,NA,0
"32",5,562,5002,"Antioquia","Oriente","Abejorral",1998,21768,NA,0
"33",5,562,5002,"Antioquia","Oriente","Abejorral",1999,21462,NA,0
"34",5,562,5002,"Antioquia","Oriente","Abejorral",2000,21195,NA,0
"35",5,562,5002,"Antioquia","Oriente","Abejorral",2001,20966,NA,0
"36",5,562,5002,"Antioquia","Oriente","Abejorral",2002,20759,NA,0
"37",5,562,5002,"Antioquia","Oriente","Abejorral",2003,20570,NA,0
"38",5,562,5002,"Antioquia","Oriente","Abejorral",2004,20401,NA,0
"39",5,562,5002,"Antioquia","Oriente","Abejorral",2005,20249,3318.8536,0
"40",5,562,5002,"Antioquia","Oriente","Abejorral",2006,20113,NA,0
"41",5,562,5002,"Antioquia","Oriente","Abejorral",2007,20022,NA,0
"42",5,562,5002,"Antioquia","Oriente","Abejorral",2008,19930,NA,0
"43",5,562,5002,"Antioquia","Oriente","Abejorral",2009,19853,NA,0
"44",5,562,5002,"Antioquia","Oriente","Abejorral",2010,19750,NA,0
"45",5,562,5002,"Antioquia","Oriente","Abejorral",2011,19672,NA,0
"46",5,562,5002,"Antioquia","Oriente","Abejorral",2012,19570,NA,0
"47",5,562,5002,"Antioquia","Oriente","Abejorral",2013,19478,NA,0
"48",5,562,5002,"Antioquia","Oriente","Abejorral",2014,19382,NA,0
"49",5,562,5002,"Antioquia","Oriente","Abejorral",2015,19290,NA,0
"50",5,562,5002,"Antioquia","Oriente","Abejorral",2016,19195,NA,0
"51",5,562,5002,"Antioquia","Oriente","Abejorral",2017,19096,NA,0
"52",5,562,5002,"Antioquia","Oriente","Abejorral",2018,17599,NA,0
"53",5,560,5004,"Antioquia","Occidente","Abriaquí",1993,3220,NA,0
"54",5,560,5004,"Antioquia","Occidente","Abriaquí",1994,3209,NA,0
"55",5,560,5004,"Antioquia","Occidente","Abriaquí",1995,3187,NA,0
"56",5,560,5004,"Antioquia","Occidente","Abriaquí",1996,3158,NA,0
"57",5,560,5004,"Antioquia","Occidente","Abriaquí",1997,3121,NA,0
"58",5,560,5004,"Antioquia","Occidente","Abriaquí",1998,3076,NA,0
"59",5,560,5004,"Antioquia","Occidente","Abriaquí",1999,3027,NA,0
"60",5,560,5004,"Antioquia","Occidente","Abriaquí",2000,2971,NA,0
"61",5,560,5004,"Antioquia","Occidente","Abriaquí",2001,2912,NA,0
"62",5,560,5004,"Antioquia","Occidente","Abriaquí",2002,2856,NA,0
"63",5,560,5004,"Antioquia","Occidente","Abriaquí",2003,2799,NA,0
"64",5,560,5004,"Antioquia","Occidente","Abriaquí",2004,2744,NA,0
"65",5,560,5004,"Antioquia","Occidente","Abriaquí",2005,2690,232.2971,0
"66",5,560,5004,"Antioquia","Occidente","Abriaquí",2006,2636,NA,0
"67",5,560,5004,"Antioquia","Occidente","Abriaquí",2007,2570,NA,0
"68",5,560,5004,"Antioquia","Occidente","Abriaquí",2008,2504,NA,0
"69",5,560,5004,"Antioquia","Occidente","Abriaquí",2009,2458,NA,0
"70",5,560,5004,"Antioquia","Occidente","Abriaquí",2010,2397,NA,0
"71",5,560,5004,"Antioquia","Occidente","Abriaquí",2011,2336,NA,0
"72",5,560,5004,"Antioquia","Occidente","Abriaquí",2012,2290,NA,0
"73",5,560,5004,"Antioquia","Occidente","Abriaquí",2013,2231,NA,0
"74",5,560,5004,"Antioquia","Occidente","Abriaquí",2014,2175,NA,0
"75",5,560,5004,"Antioquia","Occidente","Abriaquí",2015,2128,NA,0
"76",5,560,5004,"Antioquia","Occidente","Abriaquí",2016,2075,NA,0
"77",5,560,5004,"Antioquia","Occidente","Abriaquí",2017,2019,NA,0
"78",5,560,5004,"Antioquia","Occidente","Abriaquí",2018,2159,NA,0
"79",5,562,5021,"Antioquia","Oriente","Alejandría",1993,4732,NA,0
"80",5,562,5021,"Antioquia","Oriente","Alejandría",1994,4666,NA,0
"81",5,562,5021,"Antioquia","Oriente","Alejandría",1995,4589,NA,0
"82",5,562,5021,"Antioquia","Oriente","Alejandría",1996,4503,NA,0
"83",5,562,5021,"Antioquia","Oriente","Alejandría",1997,4412,NA,0
"84",5,562,5021,"Antioquia","Oriente","Alejandría",1998,4319,NA,0
"85",5,562,5021,"Antioquia","Oriente","Alejandría",1999,4226,NA,0
"86",5,562,5021,"Antioquia","Oriente","Alejandría",2000,4137,NA,0
"87",5,562,5021,"Antioquia","Oriente","Alejandría",2001,4053,NA,0
"88",5,562,5021,"Antioquia","Oriente","Alejandría",2002,3978,NA,0
"89",5,562,5021,"Antioquia","Oriente","Alejandría",2003,3912,NA,0
"90",5,562,5021,"Antioquia","Oriente","Alejandría",2004,3858,NA,0
"91",5,562,5021,"Antioquia","Oriente","Alejandría",2005,3816,394.38093,0
"92",5,562,5021,"Antioquia","Oriente","Alejandría",2006,3789,NA,0
"93",5,562,5021,"Antioquia","Oriente","Alejandría",2007,3747,NA,0
"94",5,562,5021,"Antioquia","Oriente","Alejandría",2008,3724,NA,0
"95",5,562,5021,"Antioquia","Oriente","Alejandría",2009,3688,NA,0
"96",5,562,5021,"Antioquia","Oriente","Alejandría",2010,3652,NA,0
"97",5,562,5021,"Antioquia","Oriente","Alejandría",2011,3618,NA,0
"98",5,562,5021,"Antioquia","Oriente","Alejandría",2012,3575,NA,0
"99",5,562,5021,"Antioquia","Oriente","Alejandría",2013,3550,NA,0
"100",5,562,5021,"Antioquia","Oriente","Alejandría",2014,3502,NA,0
"101",5,562,5021,"Antioquia","Oriente","Alejandría",2015,3466,NA,0
